41,1
49,0
37,1
33,0
27,0
32,0
59,0
30,0
38,0
36,0
35,0
29,0
31,0
34,0
28,1
29,0
32,0
22,0
53,0
38,0
24,0
36,1
34,0
21,0
34,1
53,0
32,1
42,0
44,0
46,0
33,0
44,0
30,0
39,1
24,1
43,0
50,1
35,0
36,0
33,0
35,0
27,0
26,1
27,0
30,0
41,1
34,0
37,0
46,0
35,0
48,1
28,1
44,0
35,0
26,0
33,0
35,0
35,0
31,0
37,0
32,0
38,0
50,0
59,0
36,0
55,0
36,0
45,0
35,0
36,1
59,0
29,0
31,0
32,0
36,0
31,0
35,0
45,0
37,0
46,0
30,0
35,0
55,0
38,0
34,0
56,0
23,0
51,0
30,0
46,1
40,0
51,0
30,0
46,0
32,0
54,0
24,0
28,0
58,0
